"ID","manufacturer","model","model_name","year","body_style","power","ccm","cylinders","steering","transmission","drive","fuel","condition","price"
247109,"Ford","Thunderbird","Thunderbird",1962,"Coupe",221,6294,8,"Left (LHD)","Automatic","Rear","Petrol","Original",33333
247147,"Volvo","P 1800","1800 S",1969,"Coupe",77,1986,4,"Left (LHD)","Manual","Rear","Petrol","Authentic",9950
247190,"Jaguar","E-Type","E-Type Lightweight",1964,"Coupe",257,3781,6,"Right (RHD)","Manual","Rear","Petrol","Original",233860
247183,"Jaguar","C-Type","XK 120 C (C-Type)",1951,"Convertible",149,3442,6,"Right (RHD)","Manual","Rear","Petrol","Original",87661
247179,"Jaguar","E-Type","E-Type",1970,"Coupe",195,4235,6,"Right (RHD)","Manual","Rear","Petrol","Original",84152
247177,"MG","MGB","MGB",1964,"Convertible",71,1798,4,"Right (RHD)","Manual","Rear","Petrol","Original",52573
247174,"Jaguar","Mk II","Mk II 3.8",1962,"Saloon",165,3781,6,"Right (RHD)","Manual","Rear","Petrol","Restoration project",93509
247167,"Jaguar","E-Type","E-Type",1970,"Coupe",154,4235,6,"Right (RHD)","Manual","Rear","Petrol","Original",105205
247165,"Ferrari","F430","F430",2005,"Coupe",360,4308,8,"Right (RHD)","Automatic","Rear","Petrol","Original",101696
247163,"Jaguar","E-Type","E-Type",1969,"Convertible",154,4235,6,"Right (RHD)","Manual","Rear","Petrol","Original",98772
247160,"MG","MGB","MGB",1969,"Convertible",71,1798,4,"Right (RHD)","Manual","Rear","Petrol","Original",16316
247157,"Lancia","Fulvia","Fulvia Coupe",1975,"Coupe",66,1298,4,"Left (LHD)","Manual","Front","Petrol","Original",26257
247149,"MG","MGA","MGA 1500",1956,"Convertible",53,1489,4,"Right (RHD)","Manual","Rear","Petrol","Original",35029
247146,"Aston Martin","DB 7","DB 7 Vantage",2003,"Coupe",313,5935,12,"Right (RHD)","Automatic","Rear","Petrol","Original",38538
247142,"Aston Martin","DB 9","DB 9",2008,"Coupe",335,5935,12,"Right (RHD)","Automatic","Rear","Petrol","Original",39708
247139,"Avanti","Avanti","II",1982,"Coupe",112,5354,8,"Left (LHD)","Automatic","Rear","Petrol","Original",12950
247141,"Mercedes-Benz","S-Class","S 63 AMG",2015,"Coupe",430,5461,8,"Right (RHD)","Automatic","Rear","Petrol","Original",75965
247140,"Jaguar","E-Type","E-Type V12",1974,"Convertible",203,5343,12,"Right (RHD)","Manual","Rear","Petrol","Original",181228
247138,"Jaguar","E-Type","E-Type 4.2",1966,"Coupe",152,4235,6,"Right (RHD)","Manual","Rear","Petrol","Original",204678
247137,"Bentley","Brooklands","Brooklands",2008,"Coupe",395,6761,8,"Right (RHD)","Automatic","Rear","Petrol","Original",151988
247136,"Ferrari","360","360 Modena",1999,"Coupe",294,3586,8,"Right (RHD)","Manual","Rear","Petrol","Original",75965
186806,"Triumph","TR 3","TR 3A",1960,"Convertible",74,1,4,"Left (LHD)","Manual","Rear","Petrol","Part-Restored",29900
244237,"Volkswagen","Beetle","Beetle 1303",1975,"Saloon",32,1290,4,"Left (LHD)","Manual","Rear","Petrol","Original",6500
229314,"Alfa Romeo","2000","2000 Spider",1960,"Convertible",63,1975,4,"Left (LHD)","Manual","Rear","Petrol","Original",99000
247094,"Triumph","TR 4","TR 4",1964,"Convertible",74,2138,4,"Right (RHD)","Manual","Rear","Petrol","Original",35029
247092,"Jaguar","XK","XKR",2004,"Coupe",291,4196,8,"Right (RHD)","Automatic","Rear","Petrol","Original",21579
247091,"Volvo","P 1800","1800 E",1970,"Coupe",91,1986,4,"Right (RHD)","Manual","Rear","Petrol","Original",40877
247089,"Jaguar","E-Type","E-Type",1970,"Convertible",154,4235,6,"Right (RHD)","Manual","Rear","Petrol","Original",204678
246093,"Volkswagen","Beetle","Beetle 1303 S",1979,"Convertible",37,1584,4,"Left (LHD)","Manual","Rear","Petrol","Original",19950
247077,"Porsche","911","911 Carrera",1995,"Coupe",200,3600,6,"Left (LHD)","Automatic","Rear","Petrol","Original",50508
